Center-X(mm),Center-Y(mm),Comment,Description,Designator,Footprint,Layer,LibRef,Quantity,Rotation,Variant,Revision,Trenz-Stock,Value,AN,Case,Mixed,Preferred,Technology,Tolerance,Trenz-Article-Number,Voltage,Ref-X(mm),Ref-Y(mm)
"12.64","43.94","12K","WID SMD 12K 1% 0,063W","R36","RESC1005X40N","Top","22598","1","180","","01","","12K","22598","1005 (0402)","SMT","Yes","","","","","12.64","43.94"
"18.75","42.92","33R","WID SMD 33R 1% 0,05W","R37","RESC0603X26N","Top","25021","1","90","","01","","33","25021","0603 (0201)","SMT","Yes","","1%","","","18.75","42.92"
"17.21","43.6","12K","WID SMD 12K 1% 0,063W","R38","RESC1005X40N","Top","22598","1","270","","01","","12K","22598","1005 (0402)","SMT","Yes","","","","","17.21","43.6"
"30.96","51.18","12K","WID SMD 12K 1% 0,063W","R39","RESC1005X40N","Bottom","22598","1","180","","01","","12K","22598","1005 (0402)","SMT","Yes","","","","","30.96","51.18"
"19.02","28.97","12K","WID SMD 12K 1% 0,063W","R40","RESC1005X40N","Top","22598","1","90","","01","","12K","22598","1005 (0402)","SMT","Yes","","","","","19.02","28.97"
"28.06","55.95","8K06","WID SMD 8K06 1% 0,063W","R41","RESC1005X40N","Bottom","25052","1","90","","01","","8.06K","25052","1005 (0402)","SMT","Yes","","1%","","","28.06","55.95"
"48.16","48.33","12K","WID SMD 12K 1% 0,063W","R42","RESC1005X40N","Bottom","22598","1","180","","01","","12K","22598","1005 (0402)","SMT","Yes","","","","","48.16","48.33"
"27.68","37.96","240R","WID SMD 240R 1% 0,063W","R43","RESC1005X40N","Bottom","23661","1","90","","01","","240","23661","1005 (0402)","SMT","Yes","","1%","","","27.68","37.96"
"26.49","38.88","240R","WID SMD 240R 1% 0,063W","R44","RESC1005X40N","Bottom","23661","1","90","","01","","240","23661","1005 (0402)","SMT","Yes","","1%","","","26.49","38.88"
"23.26","39.03","33R","WID SMD 33R 1% 0,05W","R45","RESC0603X26N","Top","25021","1","270","","01","","33","25021","0603 (0201)","SMT","Yes","","1%","","","23.26","39.03"
"29.8","53.44","33R","WID SMD 33R 1% 0,05W","R46","RESC0603X26N","Bottom","25021","1","270","","01","","33","25021","0603 (0201)","SMT","Yes","","1%","","","29.8","53.44"
"9.49","63.99","240R","WID SMD 240R 1% 0,063W","R50","RESC1005X40N","Top","23661","1","270","","01","","240","23661","1005 (0402)","SMT","Yes","","1%","","","9.49","63.99"
"25.71","63.99","240R","WID SMD 240R 1% 0,063W","R51","RESC1005X40N","Top","23661","1","270","","01","","240","23661","1005 (0402)","SMT","Yes","","1%","","","25.71","63.99"
"37.91","64.01","0R","WID SMD 0R 1% 0.063W AEC-Q200","R53","RESC1005X40N","Bottom","26222","1","180","","01","","0","26222","1005 (0402)","SMT","Yes","","","","","37.91","64.01"
"42.81","36.94","1K13","WID SMD 1K13 1% 0,063W","R55","RESC1005X40N","Top","23160","1","90","","01","","1.13K","23160","1005 (0402)","SMT","Yes","","1%","","","42.81","36.94"
"19.02","28.99","1K13","WID SMD 1K13 1% 0,063W","R56","RESC1005X40N","Bottom","23160","1","90","","01","","1.13K","23160","1005 (0402)","SMT","Yes","","1%","","","19.02","28.99"
